"Fonte";"Tema";"Secao";"Subsecao";"Topico";"Sintese";"Contexto"
"manual-de-patentes.md";"Patentes";"1 Introdução";"";"1 Introdução";"Ter a patente de um produto significa ter o direito de impedir terceiros de produzir, usar, colocar à venda, vender ou importar, sem o consentimento do titular, (i) o produto objeto de patente ou (ii) processo ou produto obtido diretamente por processo patenteado. O titular da patente poderá conceder licença de sua patente a terceiros, mediante remuneração ou não.";"Ter a patente de um produto significa ter o direito de impedir terceiros de produzir, usar, colocar à venda, vender ou importar, sem o consentimento do titular, (i) o produto objeto de patente ou (ii) processo ou produto obtido diretamente por processo patenteado. O titular da patente poderá conceder licença de sua patente a terceiros, mediante remuneração ou não. Então, se houver sido inventado um produto ou um processo, poderá ser requerida a patente no INPI. Este Manual busca consolidar e aperfeiçoar as normas e orientações de diferentes origens, tais como: resoluções e portarias, instruções normativas, pareceres normativos, notas técnicas e decisões do Comitê Permanente de Aprimoramento dos Procedimentos e Diretrizes de Exame de Patente (CPAPD), bem como procedimentos (até então) tácitos, empregados na rotina do exame de pedidos de patentes. O objetivo desse manual é auxiliar os depositantes e/ou titulares de pedidos de patente e patentes, com relação aos atos necessários a serem praticados no INPI, bem como apresentar os principais conceitos de questões vinculadas à Propriedade Industrial em matéria de patentes. O material foi elaborado para utilização preferencial na tela do computador, pois possui links."
"manual-de-patentes.md";"Patentes";"1 Introdução";"1.1 Conteúdo do Manual";"1.1.1 Naturezas de ativos de propriedade industrial";"O INPI concede alguns títulos de propriedade intelectual, tais como patentes de invenção, patentes de modelo de utilidade, certificados de adição, registro de desenho industrial, registro de marcas, registro de software, e registro de topografias de circuito integrado. É possível identificar a natureza do ativo através do número do processo no INPI.";"O INPI concede alguns títulos de propriedade intelectual, tais como patentes de invenção, patentes de modelo de utilidade, certificados de adição, registro de desenho industrial, registro de marcas, registro de software, e registro de topografias de circuito integrado. É possível identificar a natureza do ativo através do número do processo no INPI. Os números dos processos no INPI são compostos pela sigla “BR” que indica o país do depósito (Brasil) e um conjunto de algarismo (por exemplo, BR 11 2021 006108-8). Os dois primeiros algarismos (no caso, o número 11) indicam a forma de proteção do ativo de propriedade industrial (conforme Quadro 1). Quadro 1 – identificação do tipo de proteção pelo número Intervalo Natureza do ativo"
"manual-de-patentes.md";"Patentes";"70 a 79 Processos de contratos de transferência de tecnologia";"";"70 a 79 Processos de contratos de transferência de tecnologia";"Atenção! A reunião de tais fontes em uma única estrutura implicou a reorganização do conteúdo, incluindo ajustes de natureza formal, acréscimo e edição de trechos do texto.";"Atenção! A reunião de tais fontes em uma única estrutura implicou a reorganização do conteúdo, incluindo ajustes de natureza formal, acréscimo e edição de trechos do texto. Importante destacar que nem todas as numerações são utilizadas. Por exemplo, o intervalo atualmente utilizado para modelo de utilidade é de 20 a 22. Os demais números estão reservados para eventuais necessidades futuras das diretorias envolvidas. O conteúdo do manual consiste de conceitos básicos sobre inventos, modelos de utilidade, certificados de adição, disposições gerais sobre pedidos de patentes e patentes, procedimentos para elaboração, depósito e acompanhamento de um pedido de patente ou certificado de adição, obrigações do titular da patente e informações sobre os Exames Prioritários e sobre a Opinião Preliminar de Patentes. Ressalta-se que o Desenho Industrial não é protegido como Patente, mas através de um Registro, tendo condições, trâmites e exames distintos."
"manual-de-patentes.md";"Patentes";"70 a 79 Processos de contratos de transferência de tecnologia";"";"1.1.2 Pedido nacional e internacional";"Como veremos adiante, o depósito de pedido no INPI, protegerá seu invento apenas no Brasil. Em outras palavras, concorrentes em outros países poderão produzir, colocar à venda, vender, importar e exportar essa tecnologia.";"Como veremos adiante, o depósito de pedido no INPI, protegerá seu invento apenas no Brasil. Em outras palavras, concorrentes em outros países poderão produzir, colocar à venda, vender, importar e exportar essa tecnologia. Via de regra, é necessário efetuar um depósito de pedido de patente em cada país onde se quer proteção e atentar a legislação desse país (cada país tem um manual como esse que explica como é efetuado o depósito e os procedimentos). Existe um tratado que visa facilitar o depósito de pedidos em mais de um país: o Acordo em Matéria de Patentes (PCT). Ou seja, a depender da forma como se deposita, o processo de patente pode ser “nacional” ou “internacional” (também chamado de PCT). Importante destacar que o PCT trata de um depósito internacional, sendo que, após determinado período, será necessário entrar em fase nacional em cada país no qual se deseja a proteção e atender a legislação local. Em outras palavras, existe um depósito internacional, mas não existe uma patente mundial. Este manual busca introduzir os conceitos para pedidos nacionais. Para informações sobre como efetuar um depósito internacional e entrar em fase nacional no INPI, acesse a Página Depósito Internacional. Os conceitos apresentados nesse manual são uteis também para a fase nacional de pedidos internacionais."
"manual-de-patentes.md";"Patentes";"70 a 79 Processos de contratos de transferência de tecnologia";"";"1.1.3 Meios de apresentação de documentos e de petição";"Há duas formas de depósito de um pedido de patente. Pedidos de patente (nacionais) devem ser depositados exclusivamente de forma eletrônica.";"Há duas formas de depósito de um pedido de patente. Pedidos de patente (nacionais) devem ser depositados exclusivamente de forma eletrônica. Sendo assim, todos os documentos anexados aos formulários eletrônicos de pedido de patente de invenção e de modelo de utilidade, certificado de adição de invenção ou petição deverão ser enviados ao INPI como documentos digitais ou digitalizados. A partir de 20 de outubro de 2014, o sistema ePCT-filing passou a ser o meio indicado ao depósito de pedidos internacionais (ou PCT) e envio de documentos associados. O e-PCT é um serviço online da OMPI que permite aos Escritórios receptores, Autoridades Internacionais e usuários cadastrados, acesso eletrônico seguro aos pedidos internacionais depositados através do PCT. Atenção! Existe um depósito internacional, mas não existe uma patente mundial. Atenção! O Desenho Industrial (DI) não é protegido como Patente, mas através de um Registro. Para todos os efeitos desse manual, o termo “documento”, quando referente ao envio de anexos, significa o conjunto de textos e/ou imagens enviado sob a forma de arquivo eletrônico, seja através da digitalização de conteúdos originalmente em meio físico, seja por meio da cópia de arquivo existente exclusivamente em meio digital."
"manual-de-patentes.md";"Patentes";"70 a 79 Processos de contratos de transferência de tecnologia";"1.2 Como ler esse manual";"1.2 Como ler esse manual";"Esse manual apresenta um passo a passo de como, após o desenvolvimento de um invento, o interessado deve proceder para obter a patente. São 5 passos que irão auxiliar a ter o direito de propriedade industrial no menor tempo possível no Brasil e um passo adicional sobre como solicitar informações ao INPI referentes a proteção do invento no exterior.";"Esse manual apresenta um passo a passo de como, após o desenvolvimento de um invento, o interessado deve proceder para obter a patente. São 5 passos que irão auxiliar a ter o direito de propriedade industrial no menor tempo possível no Brasil e um passo adicional sobre como solicitar informações ao INPI referentes a proteção do invento no exterior. Quadro 2 – Passo a passo para proteção da invenção ou modelo de utilidade 1º Passo Leitura atenta da legislação pertinente. Capítulo 2 2º Passo Efetuar uma busca no banco de patentes Capítulo 3 3º Passo Redigir o documento de patentes Capítulo 4 4º Passo Efetuar o depósito Capítulo 5 5º Passo Acompanhar o pedido de patente Capítulo 6 6º Passo Proteja seu invento no exterior Em elaboração Ao final, é apresentado mais um capítulo, sobre problemas e dúvidas mais frequentes relacionadas a pedidos de patente e patentes (Capítulo 7)."
"manual-de-patentes.md";"Patentes";"70 a 79 Processos de contratos de transferência de tecnologia";"1.3 Atendimento";"1.3 Atendimento";"A forma mais rápida de sanar dúvidas iniciais é através do chatbot do INPI, chamado Felinpi. Ele pode ser acessado diretamente no site do INPI e fica disponível na barra lateral direita (indicado pela seta vermelha na Figura abaixo).";"A forma mais rápida de sanar dúvidas iniciais é através do chatbot do INPI, chamado Felinpi. Ele pode ser acessado diretamente no site do INPI e fica disponível na barra lateral direita (indicado pela seta vermelha na Figura abaixo). Dúvidas mais específicas podem ser direcionadas para Comunidade Agir INPI. Na comunidade, você pode efetuar perguntas que serão respondidas por técnicos do INPI e agentes da propriedade industrial. Estas perguntas ficarão disponíveis e poderão auxiliar outros usuários. As dúvidas e questionamentos dos depositantes podem ser enviados pelo sistema Fale Conosco, acessível no portal do INPI e serão respondidas em até 8 (oito) dias corridos. O atendimento é feito pelo Serviço de Assuntos Especiais de Patentes (SAESP) da DIRPA. Caso a dúvida persista, é possível solicitar o atendimento telepresencial para o usuário externo. Este atendimento só pode ser solicitado após um questionamento e resposta ao Fale Conosco. O atendimento telepresencial deve ser instruído com as dúvidas do requerente, para que haja o direcionamento ao setor correto dentro do INPI. O atendimento telefônico do INPI foi suspenso em 2018 e o presencial em 2020."
"manual-de-patentes.md";"Patentes";"2 Conceitos básicos";"";"2 Conceitos básicos";"Conhecer a Lei da Propriedade Industrial (Lei 9.279 de 1996 - LPI) é uma importante ferramenta para garantir os direitos do depositante. A LPI, em conjunto com tratados dos quais o Brasil faz parte, rege a concessão de patentes de invenção, de modelos de utilidade e de certificados de adição de invenção no país.";"Conhecer a Lei da Propriedade Industrial (Lei 9.279 de 1996 - LPI) é uma importante ferramenta para garantir os direitos do depositante. A LPI, em conjunto com tratados dos quais o Brasil faz parte, rege a concessão de patentes de invenção, de modelos de utilidade e de certificados de adição de invenção no país. Assim, verificar o que pode ser objeto de proteção, as naturezas e as formas de apresentação dos depósitos de patentes de invenção e de modelos de utilidade, de certificados de adição, enfim, todos os principais dispositivos relacionados aos aspectos legais de proteção das Patentes de Invenção e de Modelos de Utilidade, configuram um primeiro passo para a elaboração de um pedido de patente. Os procedimentos administrativos devem ser do conhecimento de todos que já possuem ou desejam possuir uma Patente de Invenção ou Modelo de Utilidade concedida. Portanto, a leitura do Manual do Usuário, das normativas vigentes que dispõem sobre o depósito de patentes de invenção e de modelos de utilidade, de certificados de adição de invenção, e da Lei da Propriedade Industrial, é imprescindível para todos que desejam depositar pedidos ou protocolar petições no INPI. O objeto deste capítulo é apresentar alguns conceitos básicos e características fundamentais sobre pedidos de patente e patentes."
"manual-de-patentes.md";"Patentes";"2 Conceitos básicos";"2.1 Normas aplicáveis ao exame de patentes";"2.1 Normas aplicáveis ao exame de patentes";"As normativas relativas aos serviços relacionados com patentes estão disponíveis na aba Serviços/Patentes/Legislação do site do INPI. De maneira geral, são aplicáveis ao exame de patentes: A Constituição Federal: Art. 5º - (...) XXIX - a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das patentes, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País; A Lei n° 9.279, de 14 de maio de 1996 (Lei da Propriedade Industrial ou LPI)...";"As normativas relativas aos serviços relacionados com patentes estão disponíveis na aba Serviços/Patentes/Legislação do site do INPI. De maneira geral, são aplicáveis ao exame de patentes: A Constituição Federal: Art. 5º - (...) XXIX - a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das patentes, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País; A Lei n° 9.279, de 14 de maio de 1996 (Lei da Propriedade Industrial ou LPI) regula os direitos e obrigações relativos à Propriedade Industrial e estabelece a concessão de patentes (Art. 2° da LPI) considerando o seu interesse social e o desenvolvimento tecnológico e econômico do País. Os dispositivos relacionados com patentes constam do Art. 3° ao Art. 93 e do Art. 212 ao Art. 244. Tratados e convenções dos quais o Brasil seja signatário: A Convenção da União de Paris (CUP), concluída em 1883, constituiu o primeiro marco em nível internacional para a proteção da Propriedade Industrial entre os diversos países signatários, estabelecendo também condições de depósito e exame de um pedido de patente em outros países. O Brasil foi um dos 14 primeiros a aderir a essa convenção. Várias foram as modificações introduzidas no texto de 1883 através de 7 revisões. Em 1990 o Brasil aderiu integralmente ao texto da Revisão de Estocolmo da CUP; O Acordo de Comércio Relacionado aos Direitos de Propriedade Intelectual (TRIPS) não apresenta normas autoaplicáveis ao exame de patentes, porém cria uma série de obrigações assumidas pelo governo brasileiro no sentido de estabelecer um patamar mínimo de proteção em matéria de propriedade intelectual na legisla..."
"manual-de-patentes.md";"Patentes";"2 Conceitos básicos";"2.2 O que é uma patente";"2.2 O que é uma patente";"A patente é um título de propriedade temporário, oficial, concedido pelo Estado, por força de lei, ao seu titular ou seus sucessores (pessoa física ou pessoa jurídica), que passam a possuir os direitos exclusivos sobre o bem, seja de um produto, de um processo de fabricação ou aperfeiçoamento de produtos e processos já existentes, objetos de sua patente. Terceiros podem explorar a patente somente com permissão do titular (mediante uma licença).";"A patente é um título de propriedade temporário, oficial, concedido pelo Estado, por força de lei, ao seu titular ou seus sucessores (pessoa física ou pessoa jurídica), que passam a possuir os direitos exclusivos sobre o bem, seja de um produto, de um processo de fabricação ou aperfeiçoamento de produtos e processos já existentes, objetos de sua patente. Terceiros podem explorar a patente somente com permissão do titular (mediante uma licença). A concessão da patente é um ato administrativo declarativo, ao se reconhecer o direito do titular, e atributivo (constitutivo), sendo necessário o requerimento da patente e o seu trâmite junto à administração pública. A intenção é que durante a vigência da patente, o titular seja recompensado pelos esforços e gastos despendidos na sua criação. Sendo assim, a patente pode ser considerada uma forma de incentivar a contínua renovação tecnológica, estimulando o investimento das empresas para o desenvolvimento de novas tecnologias e a disponibilização de novos produtos para a sociedade. Após o período de vigência, a patente se torna de domínio público e a tecnologia poderá ser produzida e comercializada por qualquer pessoa da sociedade, ou seja, não vigora mais o direito de exclusividade."
