"Fonte";"Tema";"Secao";"Subsecao";"Topico";"Sintese";"Contexto"
"manual-de-marcas.md";"Marcas";"";"";"3.6.5 Petições relativas a anotações de transferência de titularidade, de limitação ou ônus ou alteração de";"n";"nome, endereço e sede ........................................................................................................................................ 60"
"manual-de-marcas.md";"Marcas";"";"";"3.7.5 Documentação técnica contendo características do produto ou serviço a ser certificado e medidas";"d";"de controle ............................................................................................................................................................ 71 3"
"manual-de-marcas.md";"Marcas";"";"";"3.7.22 Documento que comprova o direito ao enquadramento em modalidade de priorização por motivo";"e";"estratégico ou política pública .............................................................................................................................. 74 4 5"
"manual-de-marcas.md";"Marcas";"";"";"7.3.3 Trâmite dos processos administrativos de nulidade com base em ausência de distintividade e a";"alegação de distintividade adquirida .................................................................................................................. 324 8 9 Modelos ...................................................................................................................................................................... 441 Cumprimento de exigência ..................................................................................................................................... 441 Oposição a pedido de registro de marca ..................................................................................";"alegação de distintividade adquirida .................................................................................................................. 324 8 9 Modelos ...................................................................................................................................................................... 441 Cumprimento de exigência ..................................................................................................................................... 441 Oposição a pedido de registro de marca ................................................................................................................ 441 Documento que atesta a prática conjunta de atos pelos cotitulares da marca ..................................................... 442 Manifestação a requerimento de caducidade de registro de marca ..................................................................... 442 Declaração de relação de grupo econômico .......................................................................................................... 442 Declaração de relação de grupo econômico para fins de comprovação de estabelecimento industrial ou comercial real e efetivo em território brasileiro .................................................................................................... 443 Regulamento de utilização ..................................................................................................................................... 443 Documento de cessão ............................................................................................................................................ 443 Declaração de pedido de reconhecimento de alto renome com base em múltiplos registros ............................. 444 10 Introdução O M..."
"manual-de-marcas.md";"Marcas";"1 Disposições gerais";"1.1 Normas aplicáveis ao exame de marcas";"1.1 Normas aplicáveis ao exame de marcas";"A Constituição Federal: Art. 5º - (...) XXIX - a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País; Tratados e convenções dos quais o Brasil seja signatário: Convenção da União de Paris (CUP); Acordo de Comércio Relacionado aos Direitos de Propriedade Intelectual (TRIPS) – o acordo TRIPS não apresenta normas autoaplicáveis ao exame de marcas, porém cria uma série de...";"A Constituição Federal: Art. 5º - (...) XXIX - a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País; Tratados e convenções dos quais o Brasil seja signatário: Convenção da União de Paris (CUP); Acordo de Comércio Relacionado aos Direitos de Propriedade Intelectual (TRIPS) – o acordo TRIPS não apresenta normas autoaplicáveis ao exame de marcas, porém cria uma série de obrigações assumidas pelo governo brasileiro no sentido de estabelecer um patamar mínimo de proteção em matéria de propriedade intelectual na legislação interna sobre o assunto; e Protocolo de Madri – o disposto no Protocolo de Madri e em seu Regulamento se aplica somente aos pedidos processados no âmbito do Protocolo. Informações adicionais podem ser obtidas no capítulo 11 Protocolo de Madri. A Lei nº 9.279/96 - Lei da Propriedade Industrial (LPI), de 14/05/1996. Toda norma que tenha vinculação ou relação com o Direito da Propriedade Industrial, em seu sentido lato, ainda que contidas em outros diplomas legais, tais como as legislações civil e comercial e a relativa a direito de autor."
"manual-de-marcas.md";"Marcas";"1 Disposições gerais";"1.2 Meios de comunicação oficial O meio de comunicação oficial do INPI é a Revista da Propriedade Industrial (RPI), disponível no portal do Instituto,";"1.2 Meios de comunicação oficial O meio de comunicação oficial do INPI é a Revista da Propriedade Industrial (RPI), disponível no portal do Instituto,";"no formato PDF. A publicação da RPI ocorre todas as terças-feiras, exceto em feriados, quando é publicada no primeiro dia útil imediatamente subsequente.";"no formato PDF. A publicação da RPI ocorre todas as terças-feiras, exceto em feriados, quando é publicada no primeiro dia útil imediatamente subsequente. A observância da data de publicação na RPI é importante, pois inicia a contagem dos prazos legais aplicáveis aos pedidos, registros e petições de marca. O INPI disponibiliza ainda a RPI em formato XML com a finalidade de auxiliar a leitura dos dados divulgados na revista por sistemas particulares de gestão e acompanhamento de processos. Este formato, todavia, não é o meio oficial de publicação do INPI. Existem também outros meios não oficiais e acessórios de informação, como a Pesquisa na base de marcas e o módulo Meus Pedidos, descritos na seção 3.10 Acompanhamento de processos. 12"
"manual-de-marcas.md";"Marcas";"1 Disposições gerais";"1.3 Meios de protocolo de pedidos e petições As petições ou pedidos de registro de marca podem ser encaminhados ao INPI exclusivamente pela internet, por";"1.3 Meios de protocolo de pedidos e petições As petições ou pedidos de registro de marca podem ser encaminhados ao INPI exclusivamente pela internet, por";"meio do sistema e-Marcas, disponível no portal do INPI. O peticionamento referente a pedidos de registro em sistema multiclasse, bem como à divisão de registros ou pedidos de registro de marca ainda não se encontra disponível no sistema e-Marcas.";"meio do sistema e-Marcas, disponível no portal do INPI. O peticionamento referente a pedidos de registro em sistema multiclasse, bem como à divisão de registros ou pedidos de registro de marca ainda não se encontra disponível no sistema e-Marcas."
"manual-de-marcas.md";"Marcas";"1 Disposições gerais";"1.5 Legitimidade para a prática de atos";"1.5 Legitimidade para a prática de atos";"Pessoas físicas ou pessoas jurídicas domiciliadas no Brasil Podem praticar atos no INPI as pessoas físicas ou jurídicas domiciliadas no país, independentemente de possuir ou não procurador. Para as pessoas físicas ou jurídicas de direito privado, a legitimidade para requerer pedidos de registro de marca de produto ou serviço ou transferências de titularidade depende do exercício lícito e efetivo de atividade compatível com os produtos ou serviços que o sinal visa assinalar, nos termos do art. 128, § 1º da LPI.";"Pessoas físicas ou pessoas jurídicas domiciliadas no Brasil Podem praticar atos no INPI as pessoas físicas ou jurídicas domiciliadas no país, independentemente de possuir ou não procurador. Para as pessoas físicas ou jurídicas de direito privado, a legitimidade para requerer pedidos de registro de marca de produto ou serviço ou transferências de titularidade depende do exercício lícito e efetivo de atividade compatível com os produtos ou serviços que o sinal visa assinalar, nos termos do art. 128, § 1º da LPI. Informações adicionais podem ser obtidas no item 5.5 Análise da legitimidade do requerente. Para as marcas coletivas e de certificação, existem condições especiais para o requerimento estabelecidas no art. 128, §§ 2º e 3º da LPI, conforme informações contidas nos itens 5.5.5 Marcas coletivas e 5.5.6 Marcas de certificação. Pessoas físicas ou pessoas jurídicas domiciliadas no exterior Requerentes domiciliados no exterior devem constituir um representante legal no Brasil, por meio de instrumento de procuração que inclua poderes para receber citações judiciais, conforme estabelece o art. 217 da LPI. A legitimidade para requerer pedidos de registro de marca de produto ou serviço ou transferências de titularidade depende do exercício lícito e efetivo de atividade compatível com os produtos ou serviços que o sinal visa assinalar, nos termos do art. 128, § 1º da LPI. Informações adicionais podem ser obtidas no item 5.5 Análise da legitimidade do requerente. Para as marcas coletivas e de certificação, também existem condições especiais para o requerimento estabelecidas no art. 128 §§ 2º e 3º da LPI, conforme informações contidas nos itens 5.5.5 Marcas coletivas e 5.5.6 Marcas de certificação. Procuradores 13 A procuração é o documento através do qual o(s) requerente(s) el..."
"manual-de-marcas.md";"Marcas";"1 Disposições gerais";"1.6 Prazos Os prazos estabelecidos na LPI, como regra geral, começam a ser contados a partir da data de publicação na RPI. A";"1.6 Prazos Os prazos estabelecidos na LPI, como regra geral, começam a ser contados a partir da data de publicação na RPI. A";"contagem inicia-se no primeiro dia útil após a publicação e se baseia em dias contínuos. Após o fim do prazo estipulado, extingue-se o direito de praticar o ato, exceto quando couber devolução de prazo, nos termos do art.";"contagem inicia-se no primeiro dia útil após a publicação e se baseia em dias contínuos. Após o fim do prazo estipulado, extingue-se o direito de praticar o ato, exceto quando couber devolução de prazo, nos termos do art."
"manual-de-marcas.md";"Marcas";"221 da LPI e da Portaria INPI/PR nº 049/2021, por evento imprevisto, alheio à vontade da parte, que a impeça de";"1.7 Retribuições As retribuições pelos serviços do INPI estão expressas na Tabela de Retribuições, disponível no portal do INPI.";"1.7 Retribuições As retribuições pelos serviços do INPI estão expressas na Tabela de Retribuições, disponível no portal do INPI.";"Conforme disposto na Portaria INPI/PR nº 10/2025, de 09 de maio de 2025, beneficiam-se de redução de 50% no valor de retribuições: pessoas naturais (somente se estas não detiverem participação societária em empresa do ramo a que pertence o item a ser registrado, desde que a empresa, por si, não tenha já direito ao desconto); microempresas, microempreendedor individual e empresas de pequeno porte, assim definidas na Lei Complementar nº 123, de 14 de dezembro de 2006; empresas simples de inovação, assim definidas na Lei Complementar 167/2019; instituições científicas, tecnológicas e de Inovação - ICT, conforme Lei...";"Conforme disposto na Portaria INPI/PR nº 10/2025, de 09 de maio de 2025, beneficiam-se de redução de 50% no valor de retribuições: pessoas naturais (somente se estas não detiverem participação societária em empresa do ramo a que pertence o item a ser registrado, desde que a empresa, por si, não tenha já direito ao desconto); microempresas, microempreendedor individual e empresas de pequeno porte, assim definidas na Lei Complementar nº 123, de 14 de dezembro de 2006; empresas simples de inovação, assim definidas na Lei Complementar 167/2019; instituições científicas, tecnológicas e de Inovação - ICT, conforme Lei nº 10.973/2004; entidades sem fins lucrativos, bem como órgãos públicos nacionais. Pessoas físicas hipossuficientes ou com deficiência (PcD) beneficiam-se de desconto de 100% aplicável somente a serviços elegíveis. Os descontos não incidem sobre todos os serviços. Em petições referentes a processos em regime de cotitularidade, para fazer jus aos descontos, todos os requerentes deverão atender aos critérios estabelecidos na Portaria INPI/PR nº 10/2025. As retribuições são efetuadas por meio da Guia de Recolhimento da União (GRU), o documento de arrecadação do INPI. Caso tenha recolhido retribuição desnecessária, o requerente poderá solicitar sua devolução mediante petição específica. Trata-se de um serviço isento (Código 801) que se encontra na Tabela de Retribuições da Diretoria de Administração do INPI (DIRAD) e deverá obedecer aos procedimentos regulamentados por aquela Diretoria, também disponíveis no portal do INPI."
"manual-de-marcas.md";"Marcas";"220 da LPI.";"1.9 Atendimento ao usuário";"1.9 Atendimento ao usuário";"Atendimento virtual O usuário pode enviar suas dúvidas e questionamentos pelo sistema “Fale Conosco”, canal integrante da Plataforma Integrada de Atendimento, acessível na primeira página do portal do INPI. No formulário referente ao “Fale Conosco”, o requerente deve selecionar o Assunto/Área de Interesse de acordo com a dúvida ou questionamento: Sistemas - Problema de acessos a serviços: dúvidas referentes ao acesso aos serviços do e-INPI.";"Atendimento virtual O usuário pode enviar suas dúvidas e questionamentos pelo sistema “Fale Conosco”, canal integrante da Plataforma Integrada de Atendimento, acessível na primeira página do portal do INPI. No formulário referente ao “Fale Conosco”, o requerente deve selecionar o Assunto/Área de Interesse de acordo com a dúvida ou questionamento: Sistemas - Problema de acessos a serviços: dúvidas referentes ao acesso aos serviços do e-INPI. Sistemas - Cadastro, acesso, correções: dúvidas referentes à utilização de login e senha e ao cadastro no e- INPI. Marcas - Como Registrar: dúvidas relacionadas aos procedimentos para solicitar um registro. Marcas - Processos Acompanhamento: informações sobre andamento de processos de marcas. Marcas - Protocolo de Madri: dúvidas relacionadas ao Protocolo de Madri. Recursos e Processos Administrativos de Nulidade: questões referentes a pedidos, registros ou petições de marca em fase de recurso ou processo administrativo de nulidade. O INPI encaminha a resposta para o e-mail informado no campo específico do formulário do sistema Fale Conosco. Atendimento presencial O Serviço de Atendimento Presencial é o meio reservado à orientação assertiva sobre os serviços do Instituto, à garantia de experiência do usuário mais satisfatória e à geração de empatia no relacionamento dos usuários com o INPI. Sua finalidade é, ainda, mitigar os riscos à integridade pública e estabelecer coesão, uniformidade, segurança e identidade institucional à relação público-privada. O atendimento presencial poderá ocorrer na sede, nas unidades regionais do INPI ou de forma telepresencial, por meio de videoconferência. O atendimento deve ser solicitado por meio da Plataforma Integrada de Atendimento, acessível na primeira página do portal do INPI, devendo constar na..."
