"Fonte";"Tema";"Secao";"Subsecao";"Topico";"Sintese";"Contexto"
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"";"4.1 Procedimento de Emissão de Guia de Recolhimento da União (GRU)";"4.1 Procedimento de Emissão de Guia de Recolhimento da União (GRU)";"a) No portal do INPI, o usuário deverá clicar em “Emita a GRU”, conforme figura abaixo: 14 15 No próximo passo, o requerente deverá preencher o login e senha, previamente cadastrados no sistema e-INPI, conforme a figura a seguir. As seguintes informações serão disponibilizadas, conforme a figura abaixo. 16 Em seguida, devem ser preenchidas as informações do cliente, clicando no símbolo azul ao lado de Dados do Cliente.";"a) No portal do INPI, o usuário deverá clicar em “Emita a GRU”, conforme figura abaixo: 14 15 No próximo passo, o requerente deverá preencher o login e senha, previamente cadastrados no sistema e-INPI, conforme a figura a seguir. As seguintes informações serão disponibilizadas, conforme a figura abaixo. 16 Em seguida, devem ser preenchidas as informações do cliente, clicando no símbolo azul ao lado de Dados do Cliente. O cliente pode ser selecionado pelo CNPJ/CPF/NINPI ou pelo Nome ou Razão Social, digitando e clicar em Pesquisar. 17 Clique em selecionar ao lado do cliente escolhido, e os dados do cliente serão transportados para a GRU em elaboração. Nesta etapa vamos selecionar o “Tipo de Serviço”, primeiramente devemos indicar que o serviço se refere à Coordenação Geral de Contratos de Transferência de Tecnologia, conforme figura abaixo. 18 Para então, indicar o “Serviço” pretendido, e Confirmar. Para as modalidades de averbação de contratos de licença ou cessão de direitos de propriedade industrial, ou registro de contratos de franquia, após a seleção do serviço, será solicitado que seja informado a quantidade de direitos de propriedade industrial constante no contrato em “Total de pedidos”. É de extrema importância que seja informada 19 a quantidade correta de pedidos e/ou registros de marcas, patente, desenhos industrial ou topografias de circuitos integrados, constante no contrato. Caso o contrato contenha somente a modalidade selecionada, deve clicar em “Finalizar Serviço”, para emissão da GRU. Caso o contrato contenha mais de uma modalidade, para adicionar outra modalidade, deve clicar em “Adicionar Serviço” e repetir o procedimento acima, selecionando a outra modalidade. 20 A GRU – Guia de Recolhimento da União, foi gerada, quando aparecer a tela abaixo. Nenhum..."
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"";"5.1 Pagamento da retribuição fora dos horários ou dos dias de expediente bancário";"5.1 Pagamento da retribuição fora dos horários ou dos dias de expediente bancário";"Para fins de pagamento da retribuição referente ao depósito de pedido de averbação e/ou registro de contratos de transferência de tecnologia e faturas e petições, a data da operação bancária será considerada como a data efetiva do pagamento, ainda que aquela tenha sido realizada em horários ou em dias durante os quais não há expediente bancário e desde que efetivamente comprovada. Portanto, nos casos em que a operação bancária relativa ao pagamento do pedido for realizada até a data do envio do formulário eletrônico, mas fora dos horários ou dos dias de expediente bancário, o usuário deverá encaminhar, como anexo...";"Para fins de pagamento da retribuição referente ao depósito de pedido de averbação e/ou registro de contratos de transferência de tecnologia e faturas e petições, a data da operação bancária será considerada como a data efetiva do pagamento, ainda que aquela tenha sido realizada em horários ou em dias durante os quais não há expediente bancário e desde que efetivamente comprovada. Portanto, nos casos em que a operação bancária relativa ao pagamento do pedido for realizada até a data do envio do formulário eletrônico, mas fora dos horários ou dos dias de expediente bancário, o usuário deverá encaminhar, como anexo ao formulário eletrônico de pedido de averbação de contratos de transferência de tecnologia e faturas e petições, o comprovante digitalizado do pagamento da Guia de Recolhimento da União (GRU) contendo claramente o número da GRU, a data de pagamento e autenticação bancária legíveis. Não serão aceitos como comprovante de pagamento os agendamentos de operação bancária. 6. Acesso e Preenchimento dos Formulários Eletrônicos Para ter acesso aos formulários eletrônicos de averbação e de petição, primeiramente é necessário que o usuário efetue seu cadastro no sistema da Guia de Recolhimento da União (GRU), para depois gerar uma guia correspondente ao serviço solicitado. Caso o usuário já esteja cadastrado, seu acesso poderá ser efetuado por meio de login e senha. É também fundamental que, antes de iniciar o preenchimento, o usuário leia a Lei da Propriedade Industrial (LPI) nº 9.279/1996, bem como todos os itens deste Manual, a fim de que tenha maiores esclarecimentos sobre como atuar junto à Coordenação Geral de Contratos de Tecnologia. No portal do INPI, o usuário deverá clicar no botão “Confira o e- CONTRATOS”, localizado na primeira página do portal à direita. E d..."
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"";"6.2 Tipos de formulários";"6.2.1 Ficha Cadastro";"A Ficha Cadastro é um formulário relativo às informações cadastrais das empresas cessionárias, tais como o faturamento líquido da empresa nos três últimos exercícios; as principais linhas de produção (no caso de empresa industrial) ou as principais áreas de atuação (no caso de empresas de prestação de serviços); relação a essas linhas ou áreas, a(s) tecnologia(s) que domina; informação relativa a laboratórios de Pesquisa e Desenvolvimento e Centro de Controle de Qualidade, importância da relação da empresa com as universidades e institutos de pesquisas; informações relativas à participação no mercado brasileiro e...";"A Ficha Cadastro é um formulário relativo às informações cadastrais das empresas cessionárias, tais como o faturamento líquido da empresa nos três últimos exercícios; as principais linhas de produção (no caso de empresa industrial) ou as principais áreas de atuação (no caso de empresas de prestação de serviços); relação a essas linhas ou áreas, a(s) tecnologia(s) que domina; informação relativa a laboratórios de Pesquisa e Desenvolvimento e Centro de Controle de Qualidade, importância da relação da empresa com as universidades e institutos de pesquisas; informações relativas à participação no mercado brasileiro e a natureza do capital da empresa cessionária. É obrigatório o cadastramento de pessoas jurídicas nacionais que constem como empresas cessionárias em contratos de tecnologia, de licenciamento de direito de propriedade industrial e de franquia, e faturas a serem averbados pelo INPI. O formulário de Ficha Cadastro deverá ser preenchido somente com as informações cadastrais e o número do Cadastro Nacional de Pessoa Jurídica da matriz da empresa cessionária, devidamente cadastrado na Secretaria da Receita Federal. 6.2.1.1 Geração da Guia de Recolhimento da União Para peticionar uma Ficha Cadastro pelo Formulário Eletrônico, o usuário deve gerar uma Guia de Recolhimento da União (GRU), com código de serviço 422 - Ficha Cadastro, isenta de pagamento, conforme descrito no item 4.1 (a, b e c ) às páginas"
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"13 a 18.";"";"13 a 18.";"A partir deste momento, após a abertura da janela demonstrada na figura abaixo, o usuário deverá selecionar Contratos de Transferência de Tecnologia e selecionar o serviço Ficha Cadastro com código de serviço 422 e pressionar a tecla “Confirmar”. Para finalizar, o usuário deverá clicar em ""Finalizar Serviço"" e caso tenha de equivoco quanto à escolha do serviço ou ao preenchimento de quaisquer outras informações durante essa fase, acionar o botão ""Cancelar Serviço”, conforme figura abaixo.";"A partir deste momento, após a abertura da janela demonstrada na figura abaixo, o usuário deverá selecionar Contratos de Transferência de Tecnologia e selecionar o serviço Ficha Cadastro com código de serviço 422 e pressionar a tecla “Confirmar”. Para finalizar, o usuário deverá clicar em ""Finalizar Serviço"" e caso tenha de equivoco quanto à escolha do serviço ou ao preenchimento de quaisquer outras informações durante essa fase, acionar o botão ""Cancelar Serviço”, conforme figura abaixo. Após Clicar em “Finalizar o Serviço”, aparecerá a tela com a informação que a GRU foi gerada com sucesso e abaixo o número atribuído a GRU. O usuário deverá guardar esse número para inserir no Formulário Eletrônico do sistema e-Contratos. Por ser isenta de pagamento, não há opção para impressão desta GRU. 6.2.1.2 Formulário Eletrônico da Ficha Cadastro Após ter inserido login e senha no Formulário Eletrônico do e-Contratos, o requerente deverá inserir o “Nosso Número“ no campo indicado. Após inserir o número da GRU, o usuário deve clicar o botão “Avançar”, conforme a figura abaixo: Em seguida, aparecerá o formulário de Ficha Cadastro a ser preenchido. A primeira informação a ser preenchida é quanto a identificação da Ficha Cadastro, se é referente à Pessoa Física ou referente à Pessoa Jurídica. A partir desta seleção, as informações solicitadas serão exibidas em formulários distintos. O usuário deverá preencher todos os campos do Formulário Eletrônico de Ficha Cadastro, conforme a figura abaixo: Após o preenchimento de todos os itens solicitados no Formulário Eletrônico, o usuário deve anexar os seguintes documentos: Documentos a anexar:  Cadastro Nacional de Pessoa Jurídica (CNPJ), cópia da situação cadastral (pode ser obtida no sítio de Secretária da Receita Federal, citacao.asp); ..."
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"13 a 18.";"";"6.2.2 Formulário de Requerimento de Averbação de Contratos e Faturas";"O Formulário de Requerimento de Averbação é a apresentação das informações relacionadas ao contrato ou fatura, a saber: partes contratuais, objeto da contratação, vigência contratual, valor contratual e as informações do procurador ou colaborador responsável pela submissão dos documentos no formulário eletrônico. Após a emissão da GRU, conforme procedimento descrito no item 4.1, e seu efetivo pagamento, deve ser acessado o sistema e-Contratos.";"O Formulário de Requerimento de Averbação é a apresentação das informações relacionadas ao contrato ou fatura, a saber: partes contratuais, objeto da contratação, vigência contratual, valor contratual e as informações do procurador ou colaborador responsável pela submissão dos documentos no formulário eletrônico. Após a emissão da GRU, conforme procedimento descrito no item 4.1, e seu efetivo pagamento, deve ser acessado o sistema e-Contratos. Digite o login e senha, conforme página 6 deste Manual, do procurador. Em seguida clique em Acessar. Lembramos que o sistema só aceitará login de pessoa física cadastrada Advogado ou Pessoa Física com instrumento de procuração para representar um cliente nos serviços solicitados (página 6 deste manual). Informar o número da GRU e clicar em avançar para abrir o Formulário Eletrônico a ser preenchido. O formulário eletrônico a ser preenchido é formatado de acordo com o(s) código(s) do(s) serviço(s) informado(s) na emissão da GRU. Note que a descrição do serviço e o número da GRU aparecem no cabeçalho do formulário. Em Identificação é perguntado se este pedido é relacionado com algum processo ou consulta desta coordenação de contratos. Ao clicar SIM aparece o espaço onde deve ser digitado o número do processo ou consulta na Coordenação de Contratos (não deve ser digitado números de patente, marcas, desenhos industriais ou outro registro/pedido de propriedade industrial). Os dados das empresas contratantes devem ser inseridos clicando em “+Adicionar Cedente” e “+Adicionar Cessionária”. Podem ser incluídas mais de uma empresa cedente ou cessionária. Após clicar em “+Adicionar Cedente” deve ser informado se a empresa é Brasileira ou Estrangeira. Clicando em Estrangeira, deve ser informada a Razão Social da empresa e o país da mesma, par..."
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"13 a 18.";"";"6.2.3 Formulário de Petição";"Por definição, “petição” é um instrumento administrativo relativo à solicitação de serviços ao INPI. No caso da Coordenação Geral de Contratos de Tecnologia, uma petição tem como objetivo encaminhar alguma informação, atendimento de exigência, alteração em processos, ou ainda solicitar algum serviço avulso prestado pela CGTEC.";"Por definição, “petição” é um instrumento administrativo relativo à solicitação de serviços ao INPI. No caso da Coordenação Geral de Contratos de Tecnologia, uma petição tem como objetivo encaminhar alguma informação, atendimento de exigência, alteração em processos, ou ainda solicitar algum serviço avulso prestado pela CGTEC. O formulário de petição é usado para o requerente submeter uma necessidade ao INPI, que não seja requerimento de averbação de Contrato de Transferência de Tecnologia, Licenciamento de Direito de Propriedade industrial e Franquia ou fatura. O objeto da petição pode ser Alteração do Certificado de Averbação, Retificação do Certificado de Averbação, Cumprimento de Exigência, Arquivamento de Processo, Cancelamento de Certificado, Certidão, Desistência do Pedido, Prorrogação de Prazo para Cumprimento de Exigência, Recurso, 2º Via de Certificado de Averbação, Consulta Simples, Oposição de Licença Compulsória. O formulário de Petição é usado para uma série de serviços oferecidos pela Coordenação Geral de Contratos de Tecnologia relacionados a processos em andamento ou já averbados pelo INPI, além do serviço de certidão e de consulta, todos encontrados na tabela de retribuição disponível no sítio serviços são: Código Descrição do Serviço A que se aplica"
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"410 Consultas (com ou sem";"";"410 Consultas (com ou sem";"a";"apresentação de minuta de contrato) Apresentar consulta visando uma manifestação formal do INPI sobre minuta de contrato ou fatura de transferência de tecnologia e franquia, ou quanto aos procedimentos de averbação de contratos."
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"407 Alteração de Certificado de";"";"407 Alteração de Certificado de";"A";"Averbação Requerer a alteração de dado do Certificado de Averbação ou apresentação de aditivo contratual que implique em emissão de novo certificado."
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"408 Retificação de Certificado de Averbação por erro do INPI";"";"408 Retificação de Certificado de Averbação por erro do INPI";"R";"Requerer a correção de dados relativos ao requerimento de averbação, por erro do INPI, acarretando na emissão de novo Certificado de Averbação."
"manual-de-contratos-de-tecnologia.md";"Contratos de Tecnologia";"431 Retificação por erro de";"";"431 Retificação por erro de";"p";"publicação na Revista de Propriedade Industrial (RPI) Requerer a correção de decisões ou de dados publicados na RPI, em razão de falha do INPI."
